job-title,county-addl-step-label,county-addl-step,county-addl-step-label2,county-addl-step2,3-year-county-total-base,seiu1,seiu2,seiu3,,,,,,,,,,
Supervising Vector Control Technician,,,,,8.43%,8.93%,8.43%,25.78%,,,,,,,,,,
Supervising Vector Ecologist,,,,,6.82%,7.32%,6.82%,20.95%,,,,,,,,,,
Supv Air Quality Inspector,add 2 additional top steps to the salary schedule,up to 10%,,,5.03%,5.53%,5.03%,15.59%,,,,,,,,,,
Supv Dep Public Adm-Guardn (T),,,,,4.00%,3.78%,3.28%,11.06%,,,,,,,,,,
Tax Payment Enforcement Officer,,,,,4.00%,3.80%,3.30%,11.09%,,,,,,,,,,
Tax Payment Processor,,,,,4.85%,5.35%,4.85%,15.05%,,,,,,,,,,
Technical Writer,,,,,4.00%,4.42%,3.92%,12.35%,,,,,,,,,,
Telecommunications Technician III,,,,,6.53%,7.03%,6.53%,20.09%,,,,,,,,,,
Telecommunications Technician IV,,,,,5.03%,5.53%,5.03%,15.58%,,,,,,,,,,
Toxicologist I,,,,,5.98%,6.48%,5.98%,18.45%,,,,,,,,,,
Toxicologist II,,,,,4.99%,5.49%,4.99%,15.47%,,,,,,,,,,
Toxicologist III,,,,,4.50%,5.00%,4.50%,13.99%,,,,,,,,,,
Treasurer-Tax Collector Specialist,,,,,4.70%,5.20%,4.70%,14.60%,,,,,,,,,,
